"","Site.Ref","Collected.Date","Variable.Name","Value","Quality","X","Site.name","Latitude","Longitude","day","month","year","temp"
"1","61715045","1/01/2020","Water Temp situ(øC) MAX",19.599,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","01","2020",19.599
"2","61715045","1/01/2020","Water Temp situ(øC) MEAN",19.581,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","01","2020",19.581
"3","61715045","1/01/2020","Water Temp situ(øC) MIN",19.558,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","01","2020",19.558
"4","61672159","1/01/2020","Water Temp situ(øC) MAX",20.789,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","01","2020",20.789
"5","61672159","1/01/2020","Water Temp situ(øC) MEAN",20.762,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","01","2020",20.762
"6","61672159","1/01/2020","Water Temp situ(øC) MIN",20.73,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","01","2020",20.73
"7","61615182","1/01/2020","Water Temp situ(øC) MIN",21.656,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","01","2020",21.656
"8","61615182","1/01/2020","Water Temp situ(øC) MEAN",21.679,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","01","2020",21.679
"9","61615182","1/01/2020","Water Temp situ(øC) MAX",21.703,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","01","2020",21.703
"10","61615173","1/01/2020","Water Temp situ(øC) MAX",18.292,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","01","2020",18.292
"11","61615173","1/01/2020","Water Temp situ(øC) MEAN",18.273,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","01","2020",18.273
"12","61615173","1/01/2020","Water Temp situ(øC) MIN",18.25,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","01","2020",18.25
"13","61615172","1/01/2020","Water Temp situ(øC) MAX",37.659,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","01","2020",37.659
"14","61615172","1/01/2020","Water Temp situ(øC) MEAN",26.471,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","01","2020",26.471
"15","61615172","1/01/2020","Water Temp situ(øC) MIN",18.735,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","01","2020",18.735
"16","61615165","1/01/2020","Water Temp situ(øC) MAX",20.917,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","01","2020",20.917
"17","61615165","1/01/2020","Water Temp situ(øC) MEAN",20.878,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","01","2020",20.878
"18","61615165","1/01/2020","Water Temp situ(øC) MIN",20.847,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","01","2020",20.847
"19","61615164","1/01/2020","Water Temp situ(øC) MAX",21.441,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","01","2020",21.441
"20","61615164","1/01/2020","Water Temp situ(øC) MEAN",21.41,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","01","2020",21.41
"21","61615164","1/01/2020","Water Temp situ(øC) MIN",21.382,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","01","2020",21.382
"22","61715045","1/02/2020","Water Temp situ(øC) MAX",19.6,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","02","2020",19.6
"23","61715045","1/02/2020","Water Temp situ(øC) MEAN",19.575,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","02","2020",19.575
"24","61715045","1/02/2020","Water Temp situ(øC) MIN",19.548,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","02","2020",19.548
"25","61672159","1/02/2020","Water Temp situ(øC) MAX",20.823,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","02","2020",20.823
"26","61672159","1/02/2020","Water Temp situ(øC) MEAN",20.804,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","02","2020",20.804
"27","61672159","1/02/2020","Water Temp situ(øC) MIN",20.785,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","02","2020",20.785
"28","61615182","1/02/2020","Water Temp situ(øC) MEAN",21.6,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","02","2020",21.6
"29","61615182","1/02/2020","Water Temp situ(øC) MAX",21.618,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","02","2020",21.618
"30","61615182","1/02/2020","Water Temp situ(øC) MIN",21.579,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","02","2020",21.579
"31","61615173","1/02/2020","Water Temp situ(øC) MAX",18.263,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","02","2020",18.263
"32","61615173","1/02/2020","Water Temp situ(øC) MEAN",18.238,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","02","2020",18.238
"33","61615173","1/02/2020","Water Temp situ(øC) MIN",18.215,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","02","2020",18.215
"34","61615172","1/02/2020","Water Temp situ(øC) MAX",36.454,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","02","2020",36.454
"35","61615172","1/02/2020","Water Temp situ(øC) MEAN",24.253,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","02","2020",24.253
"36","61615172","1/02/2020","Water Temp situ(øC) MIN",16.387,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","02","2020",16.387
"37","61615165","1/02/2020","Water Temp situ(øC) MEAN",20.891,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","02","2020",20.891
"38","61615165","1/02/2020","Water Temp situ(øC) MAX",20.925,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","02","2020",20.925
"39","61615165","1/02/2020","Water Temp situ(øC) MIN",20.857,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","02","2020",20.857
"40","61615164","1/02/2020","Water Temp situ(øC) MAX",21.442,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","02","2020",21.442
"41","61615164","1/02/2020","Water Temp situ(øC) MEAN",21.413,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","02","2020",21.413
"42","61615164","1/02/2020","Water Temp situ(øC) MIN",21.37,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","02","2020",21.37
"43","61700075","1/03/2011","Water Temp situ(øC) MAX",19.8,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","03","2011",19.8
"44","61700075","1/03/2011","Water Temp situ(øC) MIN",19.79,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","03","2011",19.79
"45","61700075","1/03/2011","Water Temp situ(øC) MEAN",19.797,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","03","2011",19.797
"46","61700072","1/03/2011","Water Temp situ(øC) MEAN",20.931,"10",178993,"Lake Thetis - TH2C",-30.50805476,115.085927,"1","03","2011",20.931
"47","61700072","1/03/2011","Water Temp situ(øC) MIN",20.89,"10",178993,"Lake Thetis - TH2C",-30.50805476,115.085927,"1","03","2011",20.89
"48","61700072","1/03/2011","Water Temp situ(øC) MAX",21.01,"10",178993,"Lake Thetis - TH2C",-30.50805476,115.085927,"1","03","2011",21.01
"49","61715045","1/03/2020","Water Temp situ(øC) MAX",19.597,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","03","2020",19.597
"50","61715045","1/03/2020","Water Temp situ(øC) MEAN",19.575,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","03","2020",19.575
"51","61715045","1/03/2020","Water Temp situ(øC) MIN",19.549,"3",195145,"Artesian Monitoring - AM8B",-31.42200864,115.6218648,"1","03","2020",19.549
"52","61672159","1/03/2020","Water Temp situ(øC) MAX",20.916,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","03","2020",20.916
"53","61672159","1/03/2020","Water Temp situ(øC) MEAN",20.89,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","03","2020",20.89
"54","61672159","1/03/2020","Water Temp situ(øC) MIN",20.857,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"1","03","2020",20.857
"55","61615182","1/03/2020","Water Temp situ(øC) MEAN",21.594,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","03","2020",21.594
"56","61615182","1/03/2020","Water Temp situ(øC) MAX",21.61,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","03","2020",21.61
"57","61615182","1/03/2020","Water Temp situ(øC) MIN",21.566,"3",163229,"Artesian Monitoring - AM27C",-31.76980684,115.7837558,"1","03","2020",21.566
"58","61615173","1/03/2020","Water Temp situ(øC) MAX",18.199,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","03","2020",18.199
"59","61615173","1/03/2020","Water Temp situ(øC) MEAN",18.171,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","03","2020",18.171
"60","61615173","1/03/2020","Water Temp situ(øC) MIN",18.145,"3",162932,"Artesian Monitoring - AM23C",-31.68756349,115.7272024,"1","03","2020",18.145
"61","61615172","1/03/2020","Water Temp situ(øC) MAX",40.852,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","03","2020",40.852
"62","61615172","1/03/2020","Water Temp situ(øC) MEAN",28.049,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","03","2020",28.049
"63","61615172","1/03/2020","Water Temp situ(øC) MIN",19.772,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"1","03","2020",19.772
"64","61615165","1/03/2020","Water Temp situ(øC) MAX",20.911,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","03","2020",20.911
"65","61615165","1/03/2020","Water Temp situ(øC) MEAN",20.89,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","03","2020",20.89
"66","61615165","1/03/2020","Water Temp situ(øC) MIN",20.857,"3",162624,"Artesian Monitoring - AM27E",-31.76988432,115.783811,"1","03","2020",20.857
"67","61615164","1/03/2020","Water Temp situ(øC) MIN",21.382,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","03","2020",21.382
"68","61615164","1/03/2020","Water Temp situ(øC) MAX",21.456,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","03","2020",21.456
"69","61615164","1/03/2020","Water Temp situ(øC) MEAN",21.416,"3",162581,"Artesian Monitoring - AM27D",-31.76984544,115.7837832,"1","03","2020",21.416
"70","61700075","1/04/2011","Water Temp situ(øC) MAX",20.21,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","04","2011",20.21
"71","61700075","1/04/2011","Water Temp situ(øC) MEAN",20.205,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","04","2011",20.205
"72","61700075","1/04/2011","Water Temp situ(øC) MIN",20.2,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","04","2011",20.2
"73","61700072","1/04/2011","Water Temp situ(øC) MAX",21.44,"10",178993,"Lake Thetis - TH2C",-30.50805476,115.085927,"1","04","2011",21.44
"74","61700072","1/04/2011","Water Temp situ(øC) MEAN",21.366,"10",178993,"Lake Thetis - TH2C",-30.50805476,115.085927,"1","04","2011",21.366
"75","61700072","1/04/2011","Water Temp situ(øC) MIN",21.32,"10",178993,"Lake Thetis - TH2C",-30.50805476,115.085927,"1","04","2011",21.32
"76","61700075","1/05/2011","Water Temp situ(øC) MAX",20.59,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"1","05","2011",20.59
