"","month.year","time","av.temp","Location"
"1","2019.Apr",2019-04-16 11:20:00,21.0876807844135,"Two Rocks"
"2","2019.Aug",2019-08-16 23:20:00,17.9810987875495,"Two Rocks"
"3","2019.Dec",2019-12-16 23:20:00,21.7736488879567,"Two Rocks"
"4","2019.Feb",2019-02-15 11:20:00,21.2291821976783,"Two Rocks"
"5","2019.Jan",2019-01-16 23:20:00,21.0830636037907,"Two Rocks"
"6","2019.Jul",2019-07-16 23:20:00,18.8378209073779,"Two Rocks"
"7","2019.Jun",2019-06-16 11:20:00,19.2898782219686,"Two Rocks"
"8","2019.Mar",2019-03-16 23:20:00,22.1195596184529,"Two Rocks"
"9","2019.May",2019-05-16 23:20:00,20.0137311048911,"Two Rocks"
"10","2019.Nov",2019-11-16 11:20:00,19.928915878081,"Two Rocks"
"11","2019.Oct",2019-10-16 23:20:00,18.8738660355689,"Two Rocks"
"12","2019.Sep",2019-09-16 11:20:00,18.0735270755392,"Two Rocks"
"13","2020.Apr",2020-04-16 11:20:00,22.2614474444322,"Two Rocks"
"14","2020.Aug",2020-08-16 23:20:00,18.724247376348,"Two Rocks"
"15","2020.Dec",2020-12-16 23:20:00,21.1365226638149,"Two Rocks"
"16","2020.Feb",2020-02-15 23:20:00,22.6751450229699,"Two Rocks"
"17","2020.Jan",2020-01-16 23:20:00,21.791005223234,"Two Rocks"
"18","2020.Jul",2020-07-16 23:20:00,19.4821866747359,"Two Rocks"
"19","2020.Jun",2020-06-16 11:20:00,21.4763174137599,"Two Rocks"
"20","2020.Mar",2020-03-16 23:20:00,22.966493762379,"Two Rocks"
"21","2020.May",2020-05-16 23:20:00,20.7197316344355,"Two Rocks"
"22","2020.Nov",2020-11-16 11:20:00,20.4278628067232,"Two Rocks"
"23","2020.Oct",2020-10-16 23:20:00,18.9499816034881,"Two Rocks"
"24","2020.Sep",2020-09-16 11:20:00,18.690067688848,"Two Rocks"
